pillar,sub_pillar,title,description,doc_type,code,url,industry,status,effective_date
Business Operations,Business Operations,Letter to RSE licensees: Implementation of the retirement income covenant,This 2022 letter provides guidance on the retirement income covenant. It relates to strategic planning and member outcomes.,Letter,,https://qa.handbook.apra.gov.au/letter/618/letter-rse-licensees-implementation-retirement-income-covenant,Superannuation,Current,7 March 2022
Risk Management,Credit Risk,Letter to locally incorporated ADIs: Credit risk provisioning practices,This 2023 letter provides guidance on expected credit loss provisioning for ADIs that do not use prescribed provisioning. It relates to credit risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/987/letter-locally-incorporated-adis-credit-risk-provisioning-practices,Banking,Current,19 October 2023
Risk Management,Credit Risk,Letter to life insurers: Premium increases in life insurance,This 2023 letter outlines findings from an APRA and ASIC joint review of life companies' practices in relation to premium increases.,Letter,,https://qa.handbook.apra.gov.au/letter/1017/letter-life-insurers-premium-increases-life-insurance,Life insurance,Current,14 December 2023
Governance,Board,Letter to ADIs: Operation of foreign banks in Australia,This 2013 letter provides guidance on activities that foreign ADIs may carry out in Australia.,Letter,,https://qa.handbook.apra.gov.au/letter/170/letter-adis-operation-foreign-banks-australia,Banking,Current,23 September 2013
Risk Management,Credit Risk,Letter to ADIs: Housing lending standards,This 2023 letter sets out APRA’s expectations for banks in managing exceptions to housing lending policy.,Letter,,https://qa.handbook.apra.gov.au/letter/935/letter-adis-housing-lending-standards,Banking,Current,9 June 2023
Financial Resilience,Capital,Letter to general insurers and life companies: Internal capital adequacy assessment process report feedback,This 2014 letter provides feedback from APRA's review of ICAAP Summary Statements. It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/206/letter-general-insurers-and-life-companies-internal-capital-adequacy-assessment-process,"General insurance, Life insurance",Current,3 October 2014
Financial Resilience,Capital,Letter to general insurers: Recognising potential reinsurance recoverables from aggregate reinsurance cover,This 2015 letter provides guidance on aggregate reinsurance cover. It relates to capital.,Letter,,https://qa.handbook.apra.gov.au/letter/227/letter-general-insurers-recognising-potential-reinsurance-recoverables-aggregate,General insurance,Current,28 April 2015
Governance,Accountability,Letter to all entities: Clarification of fit and proper requirements,This 2015 letter provides guidance on entities' fitness and propriety assessments. It relates to governance.,Letter,,https://qa.handbook.apra.gov.au/letter/219/letter-all-entities-clarification-fit-and-proper-requirements,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,18 February 2015
Governance,Board,"Letter to ADIs, general insurers and life insurers: Review of board requirements",This 2015 letter provides feedback from APRA's review of board requirements. It relates to governance.,Letter,,https://qa.handbook.apra.gov.au/letter/245/letter-adis-general-insurers-and-life-insurers-review-board-requirements,"Banking, General insurance, Life insurance",Current,28 August 2015
Business Operations,Business Operations,Letter to life insurers: claims oversight and governance,This 2016 letter provides feedback from APRA's review of group insurance claims management. It relates to governance and risk management.,Letter,,https://qa.handbook.apra.gov.au/letter/278/letter-life-insurers-claims-oversight-and-governance,"Life insurance, Superannuation",Current,12 October 2016
Business Operations,Business Operations,Letter to RSE licensees: Member outcomes and design and distribution obligations,This 2020 letter provides guidance on member outcomes and design and distribution obligations. It relates to Business Operations.,Letter,,https://qa.handbook.apra.gov.au/letter/473/letter-rse-licensees-member-outcomes-and-design-and-distribution-obligations,Superannuation,Current,15 December 2020
